1.013s,2.778s,3.217s,7.008s,3.179s
982ms,2.603s,3.118s,6.704s,3.082s
993ms,2.633s,3.111s,6.737s,3.086s
984ms,2.651s,3.228s,6.864s,3.087s
984ms,2.631s,3.111s,6.727s,3.083s
988ms,2.852s,3.073s,6.914s,3.043s
977ms,2.562s,3.144s,6.684s,3.107s
987ms,2.741s,3.116s,6.844s,3.055s
985ms,2.686s,3.110s,6.782s,3.087s
982ms,2.630s,3.160s,6.774s,3.131s
972ms,2.545s,3.119s,6.637s,3.086s
987ms,2.589s,3.082s,6.660s,3.056s
982ms,2.656s,3.109s,6.747s,3.085s
988ms,2.761s,3.143s,6.894s,3.122s
983ms,2.680s,3.145s,6.808s,3.115s
979ms,2.602s,3.117s,6.699s,3.091s
984ms,2.665s,3.113s,6.763s,3.084s
977ms,2.810s,3.172s,6.960s,3.037s
976ms,2.606s,3.079s,6.663s,3.054s
977ms,2.599s,3.145s,6.722s,3.119s
980ms,2.713s,3.226s,6.920s,3.087s
979ms,2.648s,3.109s,6.737s,3.075s
975ms,2.641s,3.060s,6.677s,3.036s
987ms,2.563s,3.096s,6.647s,3.066s
975ms,2.616s,3.164s,6.755s,3.136s
980ms,2.672s,3.106s,6.759s,3.071s
982ms,2.626s,3.124s,6.733s,3.095s
992ms,2.828s,3.223s,7.044s,3.087s
979ms,2.774s,3.118s,6.872s,3.087s
981ms,2.745s,3.153s,6.880s,3.124s
977ms,2.784s,3.127s,6.889s,3.094s
984ms,2.516s,3.110s,6.611s,3.084s
981ms,2.692s,3.105s,6.779s,3.074s
983ms,2.539s,3.135s,6.658s,3.109s
985ms,2.796s,3.154s,6.936s,3.117s
978ms,2.637s,3.122s,6.737s,3.097s
977ms,2.558s,3.142s,6.678s,3.088s
978ms,2.693s,3.148s,6.820s,3.123s
978ms,2.592s,3.143s,6.714s,3.117s
981ms,2.628s,3.085s,6.695s,3.058s
975ms,2.632s,3.098s,6.706s,3.071s
973ms,2.537s,3.138s,6.650s,3.100s
979ms,2.589s,3.128s,6.697s,3.106s
972ms,2.702s,3.085s,6.760s,3.053s
989ms,2.570s,3.178s,6.738s,3.151s
986ms,2.595s,3.108s,6.691s,3.076s
970ms,2.835s,3.125s,6.931s,3.094s
988ms,2.765s,3.156s,6.911s,3.129s
983ms,2.555s,3.206s,6.746s,3.129s
972ms,2.602s,3.120s,6.695s,3.093s
987ms,2.723s,3.135s,6.846s,3.109s
983ms,2.660s,3.081s,6.725s,3.053s
977ms,2.566s,3.112s,6.656s,3.087s
973ms,2.511s,3.140s,6.625s,3.108s
979ms,2.551s,3.103s,6.634s,3.079s
