5.895s,3.724s,4.501s,14.121s,4.422s
1.134s,2.967s,3.345s,7.447s,3.312s
1.120s,2.892s,3.316s,7.328s,3.283s
1.125s,2.617s,3.344s,7.087s,3.305s
1.133s,2.697s,3.360s,7.191s,3.333s
1.116s,2.923s,3.575s,7.615s,3.310s
1.109s,2.979s,3.611s,7.700s,3.338s
1.191s,2.766s,3.338s,7.296s,3.311s
1.113s,2.807s,3.364s,7.284s,3.323s
1.125s,3.108s,3.372s,7.607s,3.346s
1.109s,2.642s,3.323s,7.076s,3.296s
1.119s,2.667s,3.585s,7.372s,3.328s
1.122s,2.785s,3.328s,7.237s,3.303s
1.124s,3.201s,3.429s,7.756s,3.393s
1.137s,2.669s,3.437s,7.244s,3.400s
1.114s,2.944s,3.656s,7.715s,3.321s
1.133s,2.701s,3.376s,7.212s,3.342s
1.099s,2.661s,3.375s,7.136s,3.340s
1.117s,2.901s,3.366s,7.385s,3.342s
1.123s,2.912s,3.391s,7.427s,3.359s
1.124s,2.991s,3.440s,7.556s,3.407s
1.116s,2.690s,3.371s,7.178s,3.340s
1.121s,2.704s,3.373s,7.199s,3.333s
1.104s,2.713s,3.345s,7.163s,3.317s
1.116s,2.946s,3.427s,7.491s,3.397s
1.140s,2.785s,3.390s,7.316s,3.348s
1.129s,2.892s,3.348s,7.370s,3.315s
1.129s,2.816s,3.354s,7.300s,3.326s
1.142s,2.893s,3.375s,7.410s,3.328s
1.115s,2.677s,3.707s,7.500s,3.380s
1.130s,3.074s,3.360s,7.565s,3.328s
1.115s,2.959s,3.362s,7.437s,3.330s
1.099s,2.918s,3.318s,7.337s,3.286s
1.187s,2.754s,3.447s,7.389s,3.412s
1.141s,2.579s,3.386s,7.107s,3.355s
1.162s,2.734s,3.314s,7.212s,3.281s
1.097s,3.084s,3.550s,7.732s,3.275s
2.012s,2.949s,3.654s,8.616s,3.311s
1.116s,2.742s,3.359s,7.218s,3.326s
1.131s,2.644s,3.420s,7.196s,3.384s
1.161s,2.597s,3.384s,7.143s,3.357s
1.160s,3.039s,3.380s,7.581s,3.348s
1.115s,2.796s,3.390s,7.302s,3.365s
1.146s,2.666s,3.413s,7.227s,3.377s
1.131s,2.979s,3.458s,7.569s,3.426s
1.107s,2.799s,3.294s,7.201s,3.267s
1.140s,2.839s,3.668s,7.648s,3.369s
1.160s,2.925s,3.358s,7.443s,3.334s
1.138s,2.777s,3.385s,7.301s,3.352s
1.126s,2.650s,3.443s,7.220s,3.410s
1.116s,2.757s,3.366s,7.240s,3.339s
1.140s,3.218s,3.449s,7.808s,3.407s
1.115s,2.684s,3.380s,7.180s,3.341s
1.129s,2.759s,3.653s,7.543s,3.354s
1.144s,3.253s,3.401s,7.800s,3.370s
