7.411s,3.130s,3.305s,13.847s,3.262s
1.165s,2.623s,2.656s,6.445s,2.630s
1.124s,2.662s,2.814s,6.601s,2.785s
1.131s,2.632s,2.645s,6.409s,2.608s
1.144s,2.651s,2.764s,6.559s,2.726s
1.126s,2.781s,2.607s,6.514s,2.576s
1.126s,2.608s,2.591s,6.326s,2.550s
1.125s,2.552s,2.656s,6.334s,2.627s
1.146s,2.861s,2.706s,6.714s,2.658s
1.134s,2.715s,2.683s,6.533s,2.652s
1.123s,2.661s,2.626s,6.411s,2.590s
1.118s,2.801s,2.627s,6.546s,2.591s
1.109s,2.690s,2.657s,6.457s,2.621s
1.103s,2.682s,2.595s,6.381s,2.565s
1.121s,2.911s,2.648s,6.680s,2.618s
1.140s,2.545s,2.624s,6.310s,2.589s
1.135s,2.671s,2.737s,6.544s,2.593s
2.260s,2.642s,2.574s,7.477s,2.529s
1.123s,2.567s,2.637s,6.328s,2.607s
1.139s,2.646s,2.630s,6.415s,2.600s
1.117s,2.609s,2.610s,6.336s,2.573s
1.174s,2.703s,2.594s,6.472s,2.559s
1.113s,2.763s,2.635s,6.512s,2.598s
1.108s,2.546s,2.609s,6.264s,2.581s
1.101s,2.757s,2.626s,6.485s,2.594s
1.118s,2.658s,2.594s,6.370s,2.561s
1.109s,2.530s,2.567s,6.207s,2.537s
1.149s,2.780s,2.636s,6.565s,2.604s
1.117s,2.755s,2.591s,6.464s,2.568s
1.139s,2.830s,2.646s,6.617s,2.610s
1.122s,2.738s,2.654s,6.515s,2.621s
1.127s,2.636s,2.609s,6.373s,2.573s
1.112s,2.689s,2.631s,6.433s,2.599s
1.140s,2.639s,2.644s,6.424s,2.608s
1.118s,2.725s,2.667s,6.512s,2.632s
1.110s,2.589s,2.617s,6.317s,2.582s
1.117s,2.759s,2.598s,6.475s,2.566s
1.099s,2.682s,2.628s,6.410s,2.596s
1.132s,2.783s,2.675s,6.592s,2.645s
1.125s,2.867s,2.724s,6.718s,2.686s
1.122s,2.933s,2.648s,6.704s,2.617s
1.129s,3.003s,2.639s,6.772s,2.603s
1.121s,2.799s,2.668s,6.588s,2.629s
1.119s,2.761s,2.665s,6.546s,2.631s
1.139s,2.745s,2.667s,6.552s,2.636s
1.131s,2.775s,2.652s,6.560s,2.605s
1.138s,2.817s,2.633s,6.590s,2.602s
1.104s,2.709s,2.691s,6.505s,2.657s
1.127s,2.635s,2.665s,6.429s,2.627s
1.137s,2.715s,2.687s,6.539s,2.652s
1.139s,2.624s,2.606s,6.370s,2.583s
1.133s,2.865s,2.761s,6.760s,2.613s
1.111s,2.629s,2.588s,6.329s,2.555s
1.118s,2.586s,2.640s,6.344s,2.598s
1.157s,2.758s,2.716s,6.633s,2.676s
