1.081s,2.825s,2.776s,6.683s,2.745s
1.056s,2.873s,2.892s,6.822s,2.857s
1.063s,2.828s,2.856s,6.747s,2.829s
1.061s,2.733s,2.893s,6.687s,2.862s
1.054s,2.807s,2.679s,6.541s,2.647s
1.059s,2.905s,2.882s,6.848s,2.843s
1.055s,2.771s,2.886s,6.713s,2.859s
1.056s,2.879s,2.894s,6.830s,2.864s
1.065s,2.793s,2.900s,6.760s,2.866s
1.063s,2.863s,2.911s,6.837s,2.886s
1.053s,2.800s,2.870s,6.724s,2.844s
1.046s,2.670s,2.850s,6.567s,2.832s
1.063s,2.757s,2.919s,6.740s,2.891s
1.063s,2.818s,3.022s,6.904s,2.877s
1.044s,2.933s,2.981s,6.959s,2.949s
1.055s,2.720s,2.859s,6.634s,2.835s
1.060s,2.697s,2.832s,6.590s,2.811s
1.058s,2.760s,2.840s,6.659s,2.817s
1.060s,2.743s,2.931s,6.736s,2.899s
1.063s,2.857s,2.908s,6.829s,2.876s
1.070s,2.808s,2.864s,6.744s,2.840s
1.078s,2.791s,2.881s,6.750s,2.851s
1.064s,2.680s,2.858s,6.603s,2.824s
1.061s,2.706s,3.000s,6.768s,2.857s
1.067s,2.901s,2.946s,6.916s,2.909s
1.053s,2.761s,2.883s,6.699s,2.852s
1.063s,2.750s,2.908s,6.722s,2.877s
1.043s,2.622s,2.897s,6.563s,2.872s
1.040s,2.820s,2.838s,6.699s,2.812s
1.059s,2.732s,2.908s,6.699s,2.874s
1.064s,2.765s,2.856s,6.686s,2.825s
1.068s,2.682s,2.871s,6.622s,2.837s
1.076s,2.916s,2.889s,6.882s,2.857s
1.063s,2.713s,2.899s,6.676s,2.867s
1.067s,2.649s,2.926s,6.643s,2.902s
1.063s,2.722s,2.896s,6.681s,2.858s
1.057s,2.724s,2.949s,6.731s,2.920s
1.064s,2.691s,2.896s,6.653s,2.862s
1.059s,2.986s,2.913s,6.959s,2.878s
1.058s,2.638s,2.954s,6.651s,2.923s
1.054s,2.747s,2.900s,6.702s,2.870s
1.054s,2.782s,2.943s,6.779s,2.915s
1.064s,2.852s,2.910s,6.827s,2.879s
1.056s,2.728s,2.884s,6.669s,2.853s
1.067s,2.905s,3.007s,6.980s,2.850s
1.058s,2.864s,2.898s,6.822s,2.869s
1.071s,2.783s,2.872s,6.727s,2.845s
1.076s,2.861s,2.921s,6.859s,2.883s
1.056s,2.896s,2.872s,6.824s,2.843s
1.070s,2.900s,2.958s,6.930s,2.937s
1.059s,2.751s,2.882s,6.693s,2.849s
1.060s,2.718s,2.876s,6.655s,2.847s
1.060s,2.774s,2.902s,6.736s,2.868s
1.052s,2.815s,2.891s,6.758s,2.860s
1.059s,2.717s,2.917s,6.695s,2.891s
