1.174s,2.996s,28.894s,33.065s,28.877s
1.132s,2.833s,24.108s,28.074s,24.091s
1.147s,2.982s,24.944s,29.074s,24.927s
1.138s,3.038s,24.884s,29.062s,24.875s
1.134s,2.986s,23.950s,28.071s,23.939s
1.151s,3.142s,49.768s,54.062s,49.758s
1.148s,3.190s,24.723s,29.063s,24.713s
1.158s,3.188s,24.719s,29.067s,24.709s
1.148s,3.211s,24.713s,29.073s,24.697s
1.155s,3.094s,24.824s,29.073s,24.807s
1.142s,3.053s,24.886s,29.082s,24.869s
1.145s,3.089s,24.841s,29.076s,24.830s
1.136s,3.025s,24.900s,29.062s,24.891s
1.137s,3.193s,24.738s,29.069s,24.722s
1.145s,2.941s,24.991s,29.077s,24.975s
1.133s,3.107s,24.829s,29.070s,24.812s
1.143s,2.942s,23.985s,28.071s,23.975s
1.139s,2.925s,25.009s,29.074s,24.992s
1.136s,2.904s,24.029s,28.070s,24.019s
1.170s,3.258s,24.633s,29.062s,24.624s
1.168s,3.029s,24.868s,29.066s,24.858s
1.155s,3.243s,24.667s,29.066s,24.657s
1.140s,3.047s,24.879s,29.066s,24.869s
1.155s,3.049s,23.855s,28.059s,23.844s
1.134s,3.011s,24.928s,29.074s,24.911s
1.151s,3.107s,24.792s,29.051s,24.781s
1.149s,3.025s,24.892s,29.067s,24.881s
1.161s,3.162s,24.742s,29.066s,24.732s
1.155s,3.128s,24.777s,29.062s,24.768s
1.151s,2.889s,24.026s,28.066s,24.016s
1.151s,3.029s,23.877s,28.059s,23.867s
1.153s,2.946s,23.958s,28.058s,23.949s
1.149s,3.260s,24.653s,29.063s,24.643s
1.138s,2.900s,24.016s,28.055s,24.006s
1.141s,2.958s,24.983s,29.084s,24.945s
1.121s,3.130s,24.813s,29.065s,24.797s
1.150s,3.241s,24.682s,29.074s,24.672s
1.150s,2.960s,24.955s,29.066s,24.945s
1.146s,3.202s,24.735s,29.083s,24.717s
1.152s,3.176s,24.741s,29.070s,24.725s
1.131s,2.956s,23.973s,28.062s,23.964s
1.148s,3.130s,24.793s,29.071s,24.782s
1.155s,3.123s,24.788s,29.067s,24.770s
1.155s,3.210s,24.708s,29.075s,24.698s
1.170s,3.027s,23.853s,28.051s,23.843s
1.158s,3.071s,24.829s,29.059s,24.819s
1.148s,2.930s,23.979s,28.058s,23.969s
1.147s,2.972s,24.955s,29.075s,24.945s
1.153s,3.024s,24.893s,29.070s,24.883s
1.146s,3.187s,24.729s,29.063s,24.718s
1.134s,2.879s,24.049s,28.062s,24.039s
1.140s,3.013s,24.916s,29.069s,24.900s
1.149s,2.983s,23.937s,28.070s,23.920s
1.146s,2.914s,25.013s,29.074s,24.996s
1.147s,3.040s,24.885s,29.073s,24.869s
