1.173s,3.212s,27.698s,32.083s,27.687s
1.145s,2.898s,24.023s,28.067s,24.013s
1.180s,3.079s,23.806s,28.066s,23.797s
1.165s,3.067s,23.830s,28.063s,23.820s
1.134s,2.826s,24.109s,28.071s,24.099s
1.153s,2.979s,23.921s,28.054s,23.911s
1.183s,3.213s,23.665s,28.063s,23.655s
1.126s,2.935s,24.010s,28.072s,23.999s
1.143s,2.956s,23.974s,28.075s,23.964s
1.144s,3.073s,23.842s,28.060s,23.831s
1.145s,3.149s,23.771s,28.066s,23.761s
1.202s,2.903s,23.961s,28.066s,23.951s
1.144s,3.016s,23.908s,28.070s,23.899s
1.140s,3.130s,23.796s,28.067s,23.786s
1.156s,3.060s,23.849s,28.066s,23.840s
1.156s,3.091s,23.817s,28.065s,23.808s
1.163s,3.171s,23.733s,28.068s,23.721s
1.136s,3.030s,23.903s,28.070s,23.893s
1.138s,3.050s,23.866s,28.055s,23.856s
1.135s,2.967s,23.963s,28.066s,23.953s
1.172s,3.215s,23.678s,28.066s,23.668s
1.164s,3.170s,23.736s,28.071s,23.725s
1.143s,2.921s,24.006s,28.071s,23.996s
1.146s,3.052s,23.872s,28.071s,23.862s
1.139s,2.876s,24.053s,28.070s,24.044s
1.167s,2.982s,23.917s,28.067s,23.906s
1.136s,3.043s,23.882s,28.063s,23.872s
1.149s,2.954s,23.959s,28.062s,23.949s
1.122s,2.956s,23.987s,28.067s,23.977s
1.134s,2.999s,23.940s,28.074s,23.930s
1.170s,3.092s,23.800s,28.063s,23.789s
1.136s,3.228s,23.697s,28.062s,23.687s
1.136s,3.227s,23.695s,28.059s,23.685s
1.169s,3.008s,23.884s,28.062s,23.875s
1.137s,3.134s,23.798s,28.071s,23.788s
1.150s,3.154s,23.771s,28.075s,23.760s
1.137s,3.227s,23.697s,28.062s,23.688s
1.140s,3.098s,23.840s,28.080s,23.813s
1.138s,3.099s,23.834s,28.072s,23.823s
1.164s,2.995s,23.907s,28.067s,23.897s
1.143s,3.139s,23.786s,28.069s,23.777s
1.146s,3.028s,23.907s,28.082s,23.897s
1.140s,2.901s,24.029s,28.071s,24.019s
1.139s,2.982s,23.948s,28.070s,23.938s
1.148s,2.934s,23.988s,28.070s,23.978s
1.143s,3.177s,23.738s,28.059s,23.728s
1.142s,3.098s,23.825s,28.066s,23.815s
1.158s,3.064s,23.849s,28.071s,23.838s
1.152s,3.174s,23.745s,28.072s,23.734s
1.156s,3.144s,23.769s,28.070s,23.759s
1.160s,3.108s,23.798s,28.067s,23.788s
1.158s,3.195s,23.708s,28.062s,23.699s
1.155s,3.100s,23.806s,28.062s,23.797s
1.204s,3.027s,23.830s,28.062s,23.821s
1.137s,2.863s,24.069s,28.070s,24.059s
