6.390s,3.127s,31.547s,41.066s,31.538s
1.139s,3.022s,26.900s,31.063s,26.890s
1.143s,2.867s,27.056s,31.067s,27.045s
1.147s,3.170s,26.745s,31.062s,26.735s
1.142s,3.209s,26.706s,31.058s,26.697s
1.131s,2.889s,27.053s,31.074s,27.036s
1.154s,3.084s,26.839s,31.078s,26.822s
1.142s,2.943s,26.972s,31.058s,26.963s
1.145s,3.137s,26.776s,31.059s,26.766s
1.144s,2.898s,27.027s,31.069s,27.010s
1.124s,3.056s,26.889s,31.069s,26.873s
1.136s,2.902s,27.038s,31.077s,27.021s
1.139s,2.920s,27.013s,31.073s,26.997s
1.144s,3.058s,26.868s,31.071s,26.858s
1.157s,3.085s,26.823s,31.066s,26.814s
1.168s,3.195s,26.698s,31.062s,26.688s
1.140s,2.960s,26.968s,31.069s,26.952s
1.135s,2.819s,27.108s,31.063s,27.097s
1.154s,2.934s,26.969s,31.058s,26.960s
1.142s,3.233s,26.687s,31.062s,26.677s
1.146s,3.094s,26.821s,31.062s,26.811s
1.144s,2.952s,26.970s,31.067s,26.960s
1.150s,3.197s,26.722s,31.070s,26.706s
1.137s,2.891s,27.025s,31.054s,27.015s
1.130s,3.237s,26.693s,31.062s,26.684s
1.149s,3.154s,26.754s,31.058s,26.745s
1.142s,3.167s,26.759s,31.069s,26.743s
1.137s,2.926s,26.998s,31.062s,26.989s
1.140s,3.244s,26.685s,31.070s,26.668s
1.145s,2.917s,27.011s,31.074s,26.994s
1.148s,3.146s,26.767s,31.062s,26.757s
1.138s,3.004s,26.915s,31.058s,26.905s
1.150s,3.100s,26.812s,31.062s,26.802s
1.142s,2.992s,26.934s,31.069s,26.918s
1.144s,2.863s,27.070s,31.078s,27.053s
1.145s,3.147s,26.780s,31.073s,26.764s
1.143s,2.991s,26.928s,31.062s,26.918s
1.144s,3.028s,26.890s,31.062s,26.880s
1.164s,2.868s,27.033s,31.066s,27.024s
1.138s,3.016s,26.907s,31.062s,26.898s
1.140s,2.828s,27.094s,31.062s,27.084s
1.135s,3.045s,26.880s,31.062s,26.871s
1.153s,3.301s,27.599s,32.054s,27.590s
1.149s,3.231s,26.690s,31.070s,26.680s
1.151s,3.014s,26.900s,31.066s,26.891s
1.153s,3.035s,26.873s,31.062s,26.864s
1.135s,3.035s,26.892s,31.063s,26.881s
1.147s,2.892s,27.030s,31.070s,27.013s
1.158s,3.187s,26.712s,31.058s,26.702s
1.147s,2.974s,26.940s,31.062s,26.931s
1.139s,2.838s,27.088s,31.066s,27.075s
1.148s,2.920s,27.001s,31.070s,26.984s
1.151s,3.210s,26.689s,31.051s,26.679s
1.131s,3.232s,26.695s,31.058s,26.685s
1.157s,3.206s,26.695s,31.059s,26.684s
