5.186s,4.704s,30.172s,40.064s,30.157s
1.216s,3.609s,24.244s,29.071s,24.231s
1.201s,3.446s,24.417s,29.065s,24.405s
1.192s,3.719s,24.161s,29.073s,24.149s
1.206s,3.756s,24.125s,29.088s,24.097s
1.230s,3.852s,23.972s,29.056s,23.961s
1.206s,3.800s,24.062s,29.069s,24.050s
1.201s,3.501s,24.368s,29.072s,24.357s
1.181s,3.585s,24.298s,29.064s,24.286s
1.172s,3.591s,24.309s,29.072s,24.297s
1.173s,3.505s,24.393s,29.072s,24.378s
1.222s,3.790s,24.055s,29.068s,24.044s
1.183s,3.309s,24.586s,29.079s,24.568s
1.169s,3.485s,24.427s,29.082s,24.409s
1.171s,3.568s,24.335s,29.075s,24.317s
1.193s,3.619s,24.267s,29.080s,24.248s
1.171s,3.489s,24.414s,29.075s,24.396s
1.181s,3.481s,24.413s,29.076s,24.395s
1.205s,3.656s,24.232s,29.095s,24.215s
1.204s,3.504s,24.358s,29.067s,24.348s
1.191s,3.713s,24.154s,29.059s,24.143s
1.196s,3.730s,24.145s,29.072s,24.134s
1.177s,3.498s,24.411s,29.087s,24.393s
1.231s,3.549s,24.298s,29.078s,24.280s
1.189s,3.495s,24.399s,29.084s,24.381s
1.184s,3.739s,24.143s,29.067s,24.132s
1.181s,3.465s,24.421s,29.068s,24.409s
1.177s,3.437s,24.466s,29.081s,24.446s
1.195s,3.432s,24.450s,29.078s,24.433s
1.195s,3.406s,24.475s,29.077s,24.455s
1.201s,3.596s,24.277s,29.076s,24.258s
1.200s,3.625s,24.254s,29.080s,24.236s
1.203s,3.371s,24.508s,29.083s,24.490s
1.201s,3.410s,24.461s,29.074s,24.444s
1.215s,3.482s,24.380s,29.078s,24.363s
1.193s,3.381s,24.505s,29.080s,24.486s
1.189s,3.600s,24.288s,29.078s,24.271s
1.197s,3.463s,24.407s,29.068s,24.395s
1.185s,3.651s,24.236s,29.073s,24.224s
1.187s,3.506s,24.369s,29.063s,24.358s
1.205s,3.550s,24.311s,29.068s,24.300s
1.229s,3.663s,24.178s,29.071s,24.167s
1.170s,3.511s,24.385s,29.067s,24.374s
1.225s,3.699s,24.139s,29.065s,24.128s
1.178s,3.421s,24.484s,29.084s,24.466s
1.181s,3.477s,24.432s,29.091s,24.415s
1.196s,3.556s,24.319s,29.071s,24.308s
1.173s,3.497s,24.405s,29.076s,24.386s
1.209s,3.622s,24.236s,29.068s,24.225s
1.191s,3.693s,24.185s,29.071s,24.175s
1.199s,3.656s,24.215s,29.071s,24.204s
1.212s,3.526s,24.328s,29.067s,24.318s
1.202s,3.412s,24.452s,29.067s,24.442s
1.182s,3.438s,24.443s,29.064s,24.431s
1.211s,3.621s,24.230s,29.064s,24.219s
