5.062s,4.594s,29.402s,39.059s,29.392s
1.189s,3.646s,23.248s,28.083s,23.230s
1.180s,3.513s,23.372s,28.067s,23.355s
1.224s,3.507s,23.327s,28.060s,23.316s
1.180s,3.425s,23.458s,28.064s,23.447s
1.183s,3.549s,23.327s,28.060s,23.316s
1.182s,3.550s,23.340s,28.072s,23.321s
1.183s,3.360s,23.531s,28.075s,23.517s
1.195s,3.541s,23.322s,28.058s,23.308s
1.188s,3.469s,23.398s,28.055s,23.387s
1.192s,3.384s,23.502s,28.079s,23.485s
1.218s,3.667s,23.194s,28.080s,23.175s
1.187s,3.351s,23.545s,28.085s,23.526s
1.190s,3.699s,23.178s,28.068s,23.167s
1.192s,3.698s,23.165s,28.056s,23.154s
1.170s,3.306s,23.590s,28.067s,23.579s
1.144s,3.553s,23.375s,28.073s,23.357s
1.149s,3.327s,23.601s,28.078s,23.581s
1.184s,3.451s,23.440s,28.076s,23.429s
1.201s,3.464s,23.407s,28.072s,23.387s
1.207s,3.693s,23.161s,28.063s,23.144s
1.198s,3.686s,23.190s,28.075s,23.172s
1.197s,3.527s,23.362s,28.087s,23.344s
1.173s,3.654s,23.240s,28.068s,23.228s
1.187s,3.459s,23.429s,28.076s,23.417s
1.210s,3.535s,23.317s,28.064s,23.306s
1.177s,3.525s,23.368s,28.071s,23.355s
1.201s,3.373s,23.508s,28.083s,23.491s
1.173s,3.763s,23.132s,28.069s,23.119s
1.218s,3.400s,23.452s,28.072s,23.442s
1.207s,3.504s,23.349s,28.062s,23.336s
1.203s,3.593s,23.258s,28.056s,23.247s
1.178s,3.724s,24.152s,29.055s,24.141s
1.169s,3.642s,23.257s,28.069s,23.245s
1.190s,3.430s,23.452s,28.074s,23.439s
1.202s,3.798s,24.075s,29.076s,24.063s
1.192s,3.621s,23.268s,28.082s,23.251s
1.203s,3.539s,23.323s,28.067s,23.306s
1.187s,3.494s,23.391s,28.073s,23.379s
1.188s,3.422s,23.472s,28.084s,23.454s
1.196s,3.494s,23.384s,28.075s,23.363s
1.202s,3.640s,23.233s,28.075s,23.215s
1.194s,3.682s,23.185s,28.062s,23.168s
1.176s,3.620s,23.266s,28.063s,23.252s
1.238s,3.692s,23.148s,28.079s,23.130s
1.195s,3.448s,23.432s,28.076s,23.421s
1.215s,3.460s,23.387s,28.064s,23.376s
1.214s,3.790s,23.064s,28.068s,23.045s
1.211s,3.602s,23.265s,28.078s,23.248s
1.191s,3.597s,23.273s,28.062s,23.256s
1.185s,3.751s,23.124s,28.061s,23.112s
1.203s,3.569s,23.303s,28.075s,23.285s
1.210s,3.600s,23.264s,28.075s,23.246s
1.212s,3.563s,23.300s,28.075s,23.282s
1.190s,3.446s,23.429s,28.066s,23.412s
