13.741s,10.202s,38.162s,2.106s,38.109s
1.180s,3.329s,23.552s,28.063s,23.535s
1.211s,3.637s,24.233s,29.082s,24.216s
1.194s,3.606s,24.278s,29.080s,24.260s
1.197s,3.501s,24.379s,29.079s,24.362s
1.199s,3.345s,23.516s,28.062s,23.503s
1.188s,3.492s,24.379s,29.060s,24.368s
1.219s,3.613s,24.235s,29.067s,24.224s
1.184s,3.599s,24.279s,29.064s,24.268s
1.191s,3.626s,24.253s,29.071s,24.239s
1.190s,3.552s,24.342s,29.085s,24.322s
1.163s,3.542s,24.377s,29.083s,24.359s
1.183s,3.505s,24.383s,29.071s,24.372s
1.196s,3.524s,24.362s,29.082s,24.344s
1.183s,3.505s,24.389s,29.079s,24.372s
1.200s,3.615s,24.268s,29.084s,24.249s
1.183s,3.450s,23.440s,28.074s,23.423s
1.186s,3.545s,24.347s,29.079s,24.329s
1.182s,3.668s,24.226s,29.076s,24.207s
1.189s,3.711s,24.181s,29.082s,24.164s
1.199s,3.677s,24.187s,29.064s,24.176s
1.194s,3.491s,24.389s,29.076s,24.378s
1.185s,3.628s,24.267s,29.080s,24.255s
1.198s,3.492s,24.382s,29.072s,24.370s
1.184s,3.595s,24.291s,29.071s,24.280s
1.183s,3.428s,24.452s,29.064s,24.440s
1.196s,3.374s,23.498s,28.068s,23.486s
1.188s,3.491s,24.399s,29.079s,24.381s
1.187s,3.462s,23.430s,28.079s,23.412s
1.197s,3.516s,24.364s,29.079s,24.347s
1.196s,3.462s,24.405s,29.064s,24.393s
1.189s,3.687s,24.183s,29.060s,24.168s
1.187s,3.604s,24.286s,29.077s,24.270s
1.180s,3.457s,24.426s,29.063s,24.415s
1.204s,3.356s,23.502s,28.063s,23.492s
1.184s,3.465s,24.417s,29.067s,24.407s
1.175s,3.607s,24.299s,29.081s,24.283s
1.179s,3.491s,23.394s,28.065s,23.374s
1.201s,3.726s,24.128s,29.056s,24.116s
1.188s,3.574s,24.293s,29.056s,24.282s
1.192s,3.484s,24.388s,29.065s,24.376s
1.208s,3.749s,24.115s,29.072s,24.103s
1.199s,3.507s,24.358s,29.064s,24.346s
1.198s,3.706s,24.171s,29.076s,24.160s
1.196s,3.694s,24.192s,29.083s,24.174s
1.166s,3.374s,23.539s,28.079s,23.521s
1.184s,3.437s,24.442s,29.063s,24.424s
1.182s,3.361s,24.539s,29.083s,24.521s
1.213s,3.414s,24.439s,29.067s,24.428s
1.201s,3.430s,24.440s,29.072s,24.429s
1.187s,3.536s,24.347s,29.072s,24.336s
1.190s,3.526s,24.363s,29.080s,24.344s
1.182s,3.587s,24.304s,29.074s,24.291s
1.195s,3.563s,24.324s,29.083s,24.302s
1.210s,3.786s,24.074s,29.072s,24.063s
