17.477s,9.975s,42.647s,10.101s,42.612s
1.194s,3.402s,25.481s,30.077s,25.461s
1.224s,3.419s,25.422s,30.065s,25.410s
1.181s,3.568s,25.310s,30.059s,25.299s
1.196s,3.367s,25.500s,30.064s,25.488s
1.200s,3.480s,25.382s,30.064s,25.371s
1.197s,3.327s,25.538s,30.064s,25.527s
1.198s,3.687s,26.194s,31.080s,26.183s
1.212s,3.270s,25.580s,30.064s,25.569s
1.185s,3.530s,25.348s,30.064s,25.336s
1.174s,3.413s,25.480s,30.068s,25.468s
1.173s,3.301s,25.599s,30.074s,25.582s
1.205s,3.408s,25.461s,30.075s,25.443s
1.198s,3.248s,25.636s,30.084s,25.618s
1.168s,3.210s,25.696s,30.075s,25.679s
1.193s,3.438s,25.446s,30.078s,25.426s
1.201s,3.490s,25.383s,30.075s,25.365s
1.207s,3.479s,25.387s,30.074s,25.370s
1.178s,3.398s,25.487s,30.064s,25.476s
1.202s,3.339s,25.522s,30.064s,25.511s
1.200s,3.548s,25.314s,30.063s,25.304s
1.187s,3.552s,25.324s,30.064s,25.312s
1.190s,3.328s,25.552s,30.071s,25.534s
1.200s,3.482s,25.392s,30.075s,25.374s
1.188s,3.600s,25.278s,30.067s,25.268s
1.186s,3.628s,25.249s,30.065s,25.237s
1.203s,3.556s,25.313s,30.072s,25.301s
1.201s,3.693s,25.182s,30.077s,25.163s
1.184s,3.564s,25.315s,30.064s,25.303s
1.195s,3.242s,25.621s,30.060s,25.610s
1.203s,3.555s,25.306s,30.065s,25.294s
1.214s,3.732s,25.128s,30.075s,25.110s
1.217s,3.607s,25.260s,30.084s,25.241s
1.203s,3.486s,25.385s,30.075s,25.367s
1.176s,3.303s,25.620s,30.100s,25.585s
1.186s,3.618s,25.263s,30.068s,25.251s
1.227s,3.633s,25.234s,30.094s,25.217s
1.211s,3.620s,25.233s,30.065s,25.221s
1.211s,3.713s,25.147s,30.072s,25.136s
1.202s,3.371s,25.496s,30.070s,25.479s
1.241s,3.561s,25.272s,30.074s,25.254s
1.212s,3.468s,25.394s,30.075s,25.376s
1.218s,3.484s,25.381s,30.085s,25.369s
1.214s,3.522s,25.338s,30.075s,25.320s
1.235s,3.404s,25.433s,30.072s,25.421s
1.181s,3.606s,25.276s,30.064s,25.265s
1.194s,3.645s,25.235s,30.075s,25.217s
1.190s,3.521s,25.363s,30.075s,25.345s
1.175s,3.468s,25.434s,30.078s,25.417s
1.194s,3.297s,25.578s,30.071s,25.561s
1.172s,3.354s,25.565s,30.092s,25.530s
1.214s,3.401s,25.459s,30.075s,25.442s
1.184s,3.435s,25.459s,30.080s,25.432s
1.192s,3.279s,25.617s,30.089s,25.605s
1.178s,3.590s,25.294s,30.064s,25.283s
