9.689s,3.816s,33.560s,47.066s,33.543s
1.155s,3.397s,27.511s,32.064s,27.496s
1.147s,3.509s,27.407s,32.064s,27.396s
1.137s,3.518s,27.412s,32.067s,27.401s
1.147s,3.287s,27.638s,32.073s,27.621s
1.148s,3.388s,27.537s,32.073s,27.521s
1.163s,3.697s,27.209s,32.069s,27.192s
1.141s,3.426s,27.498s,32.066s,27.488s
1.145s,3.296s,27.625s,32.067s,27.615s
1.154s,3.516s,27.388s,32.059s,27.378s
1.140s,3.532s,27.394s,32.068s,27.384s
1.238s,3.567s,27.264s,32.070s,27.247s
1.141s,3.317s,27.610s,32.069s,27.594s
1.160s,3.545s,27.354s,32.059s,27.343s
1.238s,3.486s,27.334s,32.059s,27.320s
1.157s,3.267s,27.643s,32.068s,27.632s
1.169s,3.653s,27.240s,32.063s,27.230s
1.146s,3.370s,27.549s,32.066s,27.539s
1.146s,3.621s,27.290s,32.058s,27.280s
1.156s,3.501s,27.408s,32.066s,27.398s
1.146s,3.411s,27.507s,32.064s,27.495s
1.160s,3.334s,27.569s,32.064s,27.558s
1.149s,3.622s,27.286s,32.058s,27.276s
1.147s,3.532s,27.383s,32.063s,27.373s
1.146s,3.501s,27.416s,32.064s,27.405s
1.158s,3.383s,27.525s,32.067s,27.514s
1.173s,3.296s,27.596s,32.066s,27.586s
1.143s,3.368s,27.558s,32.070s,27.549s
1.153s,3.338s,27.566s,32.058s,27.557s
1.195s,3.485s,27.377s,32.059s,27.367s
1.208s,3.607s,27.238s,32.055s,27.228s
1.171s,3.442s,27.448s,32.062s,27.439s
1.153s,3.395s,27.510s,32.059s,27.499s
1.149s,3.419s,27.488s,32.056s,27.477s
1.153s,3.496s,27.408s,32.058s,27.398s
1.172s,3.562s,27.329s,32.063s,27.318s
1.152s,3.598s,27.320s,32.071s,27.309s
1.142s,3.536s,27.384s,32.064s,27.373s
1.147s,3.324s,27.590s,32.062s,27.580s
1.151s,3.585s,27.322s,32.059s,27.311s
1.143s,3.461s,27.466s,32.070s,27.456s
1.160s,3.418s,27.483s,32.062s,27.474s
1.141s,3.479s,27.438s,32.059s,27.428s
1.163s,3.321s,27.577s,32.062s,27.568s
1.159s,3.389s,27.513s,32.062s,27.503s
1.170s,3.373s,27.522s,32.066s,27.512s
1.139s,3.435s,27.491s,32.066s,27.481s
1.182s,3.380s,27.495s,32.059s,27.485s
1.135s,3.330s,27.593s,32.059s,27.583s
1.148s,3.489s,27.425s,32.063s,27.414s
1.160s,3.530s,27.363s,32.054s,27.354s
1.160s,3.516s,27.389s,32.067s,27.379s
1.148s,3.499s,27.414s,32.062s,27.405s
1.146s,3.477s,27.443s,32.066s,27.433s
1.154s,3.611s,27.297s,32.062s,27.287s
